City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Bayir,TR,37.2687,28.2167,64.92,71,0,2.98,clear sky
178,Salisbury,GB,51.0693,-1.7957,55.69,93,75,6.91,broken clouds
179,Hammond,US,41.5834,-87.5,78.49,54,0,6.91,clear sky
180,Saint-Augustin,CA,51.226,-58.6502,51.17,76,100,9.53,overcast clouds
181,Kirkintilloch,GB,55.9393,-4.1526,49.68,89,93,8.05,overcast clouds
182,Oranjemund,NA,-28.55,16.4333,68.59,28,2,9.26,clear sky
183,Cayenne,GF,4.9333,-52.3333,78.84,1,75,16.11,broken clouds
184,Ukiah,US,39.1502,-123.2078,76.44,63,100,9.22,overcast clouds
185,Leningradskiy,RU,69.3833,178.4167,35.62,76,93,9.24,overcast clouds
186,Esperance,AU,-33.8667,121.9,48.04,70,94,6.85,overcast clouds
187,Shenjiamen,CN,29.9576,122.298,68.45,88,100,11.27,overcast clouds
188,Amnat Charoen,TH,15.9167,104.75,77.0,88,99,5.59,overcast clouds
189,Deputatskiy,RU,69.3,139.9,57.56,61,100,3.4,overcast clouds
190,Kintampo,GH,8.0563,-1.7306,71.44,93,100,1.88,moderate rain
191,Tuy Hoa,VN,13.0833,109.3,78.8,79,13,5.01,few clouds
192,Olafsvik,IS,64.8945,-23.7142,41.88,52,92,12.88,overcast clouds
193,Geraldton,AU,-28.7667,114.6,48.61,71,2,17.27,clear sky
194,Am Timan,TD,11.0297,20.2827,83.68,54,74,8.9,broken clouds
195,Clyde River,CA,70.4692,-68.5914,32.23,93,0,6.91,clear sky
196,Sumenep,ID,-7.0167,113.8667,80.56,81,96,7.34,overcast clouds
197,Turukhansk,RU,65.8167,87.9833,36.64,68,92,5.37,overcast clouds
198,Krian,ID,-7.4104,112.5792,76.12,87,97,2.73,overcast clouds
199,Itoman,JP,26.1247,127.6694,82.42,89,40,18.41,scattered clouds
200,Katsuura,JP,35.1333,140.3,64.42,89,100,13.62,light rain
201,Polyarnyy,RU,69.1989,33.4478,44.22,96,100,17.85,light rain
202,Pihuamo,MX,19.2499,-103.3828,80.49,54,50,8.3,scattered clouds
203,Kontagora,NG,10.3999,5.4695,74.3,77,100,3.67,overcast clouds
204,Inuvik,CA,68.3499,-133.7218,39.96,60,20,10.36,few clouds
205,Brodokalmak,RU,55.5748,62.082,50.9,93,90,6.2,overcast clouds
206,Vostok,RU,46.4856,135.8833,53.58,46,98,3.42,overcast clouds
207,Nyrob,RU,60.733,56.7202,52.18,62,100,4.99,overcast clouds
208,Manacapuru,BR,-3.2997,-60.6206,76.93,88,77,0.22,broken clouds
209,Linqing,CN,36.8456,115.7117,76.19,29,1,12.77,clear sky
210,Qorveh,IR,35.1664,47.8045,63.18,36,35,4.92,scattered clouds
211,Mount Gambier,AU,-37.8333,140.7667,44.51,87,75,9.22,broken clouds
212,Mar Del Plata,AR,-38.0023,-57.5575,50.09,90,96,2.3,fog
213,Stephenville,US,32.2207,-98.2023,95.81,35,0,13.8,clear sky
214,Kodiak,US,57.79,-152.4072,56.71,72,100,12.66,overcast clouds
215,Blonie,PL,52.1985,20.6171,64.11,83,1,6.82,clear sky
216,Butaritari,KI,3.0707,172.7902,81.59,73,75,12.33,broken clouds
217,Manzanillo,CU,20.3433,-77.1167,84.47,64,98,8.63,overcast clouds
218,Dzilam Gonzalez,MX,21.2833,-88.9333,79.54,77,92,6.22,overcast clouds
219,Genhe,CN,50.7833,121.5167,58.55,50,3,1.68,clear sky
220,Muncar,ID,-8.4333,114.3333,76.5,91,90,1.34,overcast clouds
221,Coralville,US,41.6764,-91.5805,82.63,39,20,12.66,few clouds
222,Ajdabiya,LY,30.7554,20.2263,74.61,69,0,8.93,clear sky
223,Bridgetown,BB,13.1,-59.6167,79.29,94,75,20.71,broken clouds
224,Korhogo,CI,9.45,-5.6333,78.13,71,100,6.4,light rain
225,Verkhnevilyuysk,RU,63.4453,120.3167,64.02,77,99,6.96,overcast clouds
226,Sao Filipe,CV,14.8961,-24.4956,75.83,73,2,10.54,clear sky
227,Torbay,CA,47.6666,-52.7314,50.29,72,75,11.5,broken clouds
228,Emerald,AU,-23.5333,148.1667,60.35,85,99,8.32,overcast clouds
229,Sokoni,TZ,-6.4333,39.55,77.59,76,100,18.3,moderate rain
230,Abalak,RU,58.1286,68.5944,43.75,63,69,2.77,broken clouds
231,Saint-Joseph,RE,-21.3667,55.6167,68.38,69,42,8.32,scattered clouds
232,Andenes,NO,69.3143,16.1194,40.98,81,100,17.27,overcast clouds
233,Altay,CN,47.8667,88.1167,44.74,89,15,3.4,few clouds
234,Champerico,GT,14.3,-91.9167,77.54,74,99,8.39,overcast clouds
235,Waharoa,NZ,-37.7667,175.7667,57.74,94,100,6.02,light rain
236,Nanortalik,GL,60.1432,-45.2371,42.91,76,88,2.59,overcast clouds
237,Rawson,AR,-43.3002,-65.1023,51.33,48,100,8.1,overcast clouds
238,Linxia,CN,35.6003,103.2064,59.18,68,99,5.75,overcast clouds
239,Beringovskiy,RU,63.05,179.3167,48.18,63,98,6.38,overcast clouds
240,Jalu,LY,29.0331,21.5482,79.9,44,0,16.64,clear sky
241,Fairmont,US,39.4851,-80.1426,81.52,41,54,6.29,broken clouds
242,Tura,IN,25.5198,90.2201,72.97,97,56,4.16,heavy intensity rain
243,Khash,IR,28.2211,61.2158,68.09,12,0,4.12,clear sky
244,Krasnoturansk,RU,54.3186,91.5639,46.94,89,100,17.96,light rain
245,Banda Aceh,ID,5.5577,95.3222,79.65,81,100,8.77,overcast clouds
246,Broken Hill,AU,-31.95,141.4333,45.91,75,2,11.16,clear sky
247,Eskil,TR,38.4017,33.4131,64.15,70,58,3.06,broken clouds
248,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,86,100,5.77,overcast clouds
249,Ferme-Neuve,CA,46.7001,-75.4493,63.01,54,57,4.25,broken clouds
250,Oksfjord,NO,70.2396,22.3479,46.58,69,69,9.17,broken clouds
