City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,The Valley,AI,2022-06-06 02:06:40,18.217,-63.0578,82.26,80,43,16.84
153,Pevek,RU,2022-06-06 02:06:41,69.7008,170.3133,33.78,81,36,10.09
154,Teguldet,RU,2022-06-06 02:06:41,57.3064,88.1667,39.7,96,100,6.98
155,Meulaboh,ID,2022-06-06 02:06:42,4.1363,96.1285,80.04,79,100,3.94
156,Clyde River,CA,2022-06-06 02:06:42,70.4692,-68.5914,30.43,89,15,4.0
157,Uige,AO,2022-06-06 02:06:43,-7.6087,15.0613,63.99,51,100,2.64
158,Yuancheng,CN,2022-06-06 02:06:43,36.652,107.7896,76.26,12,100,5.66
159,Ozernovskiy,RU,2022-06-06 02:06:44,51.5,156.5167,44.55,89,98,3.62
160,Kota Kinabalu,MY,2022-06-06 02:06:44,5.9749,116.0724,84.18,84,20,5.99
161,Vanimo,PG,2022-06-06 02:06:45,-2.6741,141.3028,85.57,65,100,4.88
162,Mulchen,CL,2022-06-06 02:06:23,-37.7167,-72.2333,51.85,94,100,5.97
163,Sapouy,BF,2022-06-06 02:06:45,11.5544,-1.7736,80.31,60,99,9.37
164,Orotukan,RU,2022-06-06 02:06:46,62.2667,151.7,55.11,67,100,4.52
165,Cayenne,GF,2022-06-06 02:06:46,4.9333,-52.3333,81.09,1,100,2.3
166,San Quintin,MX,2022-06-06 02:06:46,30.4833,-115.95,64.89,84,21,20.6
167,Mahon,ES,2022-06-06 02:03:33,39.8885,4.2658,68.56,94,0,10.36
168,San Patricio,US,2022-06-06 02:06:47,28.017,-97.5169,83.17,76,0,15.99
169,Upernavik,GL,2022-06-06 02:06:47,72.7868,-56.1549,29.12,81,1,9.82
170,Thompson,CA,2022-06-06 02:02:45,55.7435,-97.8558,56.97,61,89,0.98
171,Nishihara,JP,2022-06-06 02:06:48,26.1842,127.7558,82.45,94,100,19.57
172,Arkhangelsk,RU,2022-06-06 02:06:48,64.5401,40.5433,55.51,88,100,8.95
173,Port Augusta,AU,2022-06-06 02:06:42,-32.5,137.7667,58.91,49,7,15.32
174,Kampot,KH,2022-06-06 02:06:49,10.6167,104.1833,82.45,68,98,8.41
175,Port Blair,IN,2022-06-06 02:06:50,11.6667,92.75,77.04,94,100,3.44
176,Dudinka,RU,2022-06-06 02:06:50,69.4058,86.1778,31.62,54,7,6.35
177,Qaanaaq,GL,2022-06-06 02:06:50,77.484,-69.3632,25.81,78,81,5.55
178,Arraial Do Cabo,BR,2022-06-06 02:06:51,-22.9661,-42.0278,69.06,66,0,17.34
179,Chulman,RU,2022-06-06 02:06:51,56.8479,124.9104,74.84,39,16,2.06
180,Barrow,US,2022-06-06 02:06:52,71.2906,-156.7887,30.22,80,100,21.85
181,Mecca,SA,2022-06-06 02:07:52,21.4267,39.8261,87.49,18,0,3.15
182,Morant Bay,JM,2022-06-06 02:07:52,17.8815,-76.4093,77.7,89,74,8.05
183,Ribeira Grande,PT,2022-06-06 02:07:53,38.5167,-28.7,65.16,94,81,11.72
184,Gravelbourg,CA,2022-06-06 02:07:53,49.8834,-106.5512,59.77,59,97,14.74
185,Ituporanga,BR,2022-06-06 02:07:54,-27.4144,-49.6025,56.07,99,100,1.59
186,Santa Isabel Do Rio Negro,BR,2022-06-06 02:07:54,-0.4139,-65.0192,71.47,95,60,0.11
187,Rio Grande,BR,2022-06-06 02:07:54,-32.035,-52.0986,59.95,94,100,3.27
188,San Cristobal,VE,2022-06-06 02:07:55,7.7669,-72.225,68.18,99,100,2.86
189,Bethel,US,2022-06-06 02:07:55,41.3712,-73.414,64.9,71,0,0.0
190,Ialibu,PG,2022-06-06 02:07:56,-6.2821,143.9935,70.97,56,52,4.5
191,Ryotsu,JP,2022-06-06 02:07:56,38.0833,138.4333,58.8,88,100,17.58
192,Langsa,ID,2022-06-06 02:07:56,4.4683,97.9683,82.29,76,98,1.74
193,Namwala,ZM,2022-06-06 02:07:57,-15.7504,26.4384,50.32,70,3,4.34
194,Yarega,RU,2022-06-06 02:07:57,63.4354,53.5765,52.57,55,20,6.22
195,Rawson,AR,2022-06-06 02:07:58,-43.3002,-65.1023,50.74,57,100,14.12
196,Amahai,ID,2022-06-06 02:07:58,-3.3333,128.9167,84.2,66,18,0.65
197,Axim,GH,2022-06-06 02:07:58,4.8699,-2.2405,76.82,87,93,7.25
198,Ponta Do Sol,PT,2022-06-06 02:07:59,32.6667,-17.1,64.71,77,51,0.47
199,Mezen,RU,2022-06-06 02:07:59,65.8522,44.24,55.02,85,10,5.88
200,Nhulunbuy,AU,2022-06-06 02:08:00,-12.2333,136.7667,86.61,66,75,14.97
201,Sorland,NO,2022-06-06 02:08:00,67.667,12.6934,42.66,68,100,18.3
202,Port Elizabeth,ZA,2022-06-06 02:08:00,-33.918,25.5701,55.38,82,7,6.13
203,Boueni,YT,2022-06-06 02:08:01,-12.9025,45.0761,78.78,66,2,20.18
204,Ihosy,MG,2022-06-06 02:08:01,-22.4,46.1167,59.58,93,79,5.77
