City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Hambantota,LK,77.88,light rain,6.1241,81.1185,Bungalow 63
563,Siderno,IT,81.34,clear sky,38.2779,16.302,Grand Hotel President
565,Gallup,US,84.96,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
581,Sabang,ID,82.63,overcast clouds,5.8933,95.3214,Hotel Citra
582,Show Low,US,84.49,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
588,Panama City,PA,83.93,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
591,Pacific Grove,US,76.33,broken clouds,36.6177,-121.9166,Lovers Point Inn
592,Tual,ID,82.71,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
598,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
602,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
604,Partur,IN,85.41,overcast clouds,19.6,76.2167,Prasanna Deshpande
607,Puerto Gaitan,CO,75.79,scattered clouds,4.3133,-72.0816,Brisas del Yucao
608,Tanout,NE,83.21,broken clouds,14.9709,8.8879,
610,Bara,NG,78.06,scattered clouds,10.3744,10.7288,
616,Roxas,PH,81.14,overcast clouds,11.5853,122.7511,Urban Manor Hotel
620,Avera,US,83.71,broken clouds,33.194,-82.5271,
621,Ramjibanpur,IN,82.42,few clouds,22.8333,87.6167,"দাসপাড়া, ৩ নং ওয়ার্ড"
624,Tahta,EG,86.27,broken clouds,26.7693,31.5021,فندق الزيات
625,Leo,BF,82.2,overcast clouds,11.1,-2.1,Hotel Sissilis
627,Weligama,LK,76.66,moderate rain,5.9667,80.4167,Weligama Bay Resort
629,Takoradi,GH,77.68,light rain,4.8845,-1.7554,Raybow International Hotel
631,Kapoeta,SS,78.8,broken clouds,4.7717,33.5903,Eastgate Hotel
632,Sinnamary,GF,77.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
635,Dunmore Town,BS,80.19,clear sky,25.5,-76.65,Coral Sands Hotel
636,Tamandare,BR,75.24,clear sky,-8.7597,-35.1047,Pousada 100 Passos
639,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
